empEID,empID,snapDate,firstName,lastName,mgrEID,mgrID,costCenter,costCenterName,divisionName
KIN860,443967,9/13/2016,NULL,NULL,PCB109,162133,21543,"DataLabs India","Financial Services Rollup"
SSO384,469721,9/13/2016,NULL,NULL,RRW588,196092,21269,"LM CAT","Financial Services Rollup"
PKX351,525214,9/13/2016,NULL,NULL,IXQ770,373388,21501,"Data Development","Financial Services IT"
TGE150,521094,9/13/2016,NULL,NULL,WAP251,187770,21220,"LS Strategy & Command Ctr","Auto Finance"
JRQ544,520427,9/13/2016,NULL,NULL,QWS564,228327,21405,"RBC - Plano","Auto Finance"
KXE006,497585,9/13/2016,NULL,NULL,JQP660,216282,21218,"Credit Bureau Solutions","Auto Finance"
OUB604,282581,9/13/2016,NULL,NULL,RVJ915,376735,17836,"Customer Service HL","Home Loans"
VGN828,224012,9/13/2016,NULL,NULL,HVK461,235986,21403,"Titles & Total Loss","Auto Finance"
DLN540,485198,9/13/2016,NULL,NULL,SSE711,305211,21404,"COAF Payment Processing","Auto Finance"
DVP111,541966,9/13/2016,NULL,NULL,JJS067,236261,21543,"DataLabs India","Financial Services Rollup"
DVP111,541966,9/13/2016,NULL,NULL,JJS067,230212,21543,"DataLabs India","Financial Services Rollup"
QXT982,428575,9/13/2016,NULL,NULL,EML436,424083,17809,"Sales M&A","Home Loans"
BAX317,118792,9/13/2016,NULL,NULL,DBZ939,225330,21045,"FS Chief of Staff Team","Financial Services Rollup"
NCY761,172678,9/13/2016,NULL,NULL,CWM874,383243,39054,"Team 32 Plano","Financial Services Rollup"
NWR503,502431,9/13/2016,NULL,NULL,GTO899,249588,21153,"Refi Call Center","Auto Finance"
GMZ132,478589,9/13/2016,NULL,NULL,MBH865,258985,21245,"Customer Care (Tulsa)","Auto Finance"
EYV201,210891,9/13/2016,NULL,NULL,JJQ031,397000,28762,"Mortgage LT","Home Loans"
JUP031,433377,9/13/2016,NULL,NULL,EXA737,300317,21045,"FS Chief of Staff Team","Financial Services Rollup"
RKD667,542930,9/13/2016,NULL,NULL,AIZ982,198258,17812,"HL Tech Svg & Default","Financial Services IT"
NAR263,384722,9/13/2016,NULL,NULL,SZM492,200851,21237,"Loan Solutions","Financial Services Rollup"
KLC556,111642,9/13/2016,NULL,NULL,EWL870,185514,21208,"LS Management","Auto Finance"
YMZ284,549523,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
NND682,544377,9/13/2016,NULL,NULL,ENT710,352630,21501,"Data Development","Financial Services IT"
JBU943,403745,9/13/2016,NULL,NULL,GDH405,360718,21543,"DataLabs India","Financial Services Rollup"
YKT072,425483,9/13/2016,NULL,NULL,LDG412,423238,27149,"HL Fraud/AML","Financial Services Rollup"
GFL337,440501,9/13/2016,NULL,NULL,ZHH095,182061,21405,"RBC - Plano","Auto Finance"
ZFG549,188271,9/13/2016,NULL,NULL,CDQ267,365242,21205,"Vehicle Remarketing (Plano)","Auto Finance"
DBF424,489870,9/13/2016,NULL,NULL,FTH668,376823,27154,"Mortgage BRO Cross Function","Home Loans"
PXW088,311886,9/13/2016,NULL,NULL,NAC662,349208,21242,"Repo (Tulsa)","Auto Finance"
LDO348,507101,9/13/2016,NULL,NULL,WJK831,321540,21201,"Customer Care (Plano)","Auto Finance"
TGS685,525235,9/13/2016,NULL,NULL,KFG858,183712,21245,"Customer Care (Tulsa)","Auto Finance"
XHD103,523711,9/13/2016,NULL,NULL,QIE229,309871,21262,"Manual Collections Tulsa 3","Auto Finance"
JTU503,434745,9/13/2016,NULL,NULL,QDZ947,425253,27130,"HE  Command Ctr","Home Loans"
JRQ544,520427,9/13/2016,NULL,NULL,QWS564,180182,21405,"RBC - Plano","Auto Finance"
SND075,286507,9/13/2016,NULL,NULL,NGF746,221371,21270,"COAF Records Management","Auto Finance"
ZHD039,338711,9/13/2016,NULL,NULL,OJP811,222149,21260,"LS QA And Support","Auto Finance"
ZWF770,491059,9/13/2016,NULL,NULL,OEM204,239723,21262,"Manual Collections Tulsa 3","Auto Finance"
KCZ492,511596,9/13/2016,NULL,NULL,RVJ915,376735,17836,"Customer Service HL","Home Loans"
DCD752,472078,9/13/2016,NULL,NULL,HMA365,152432,17812,"HL Tech Svg & Default","Financial Services IT"
ZQU619,355870,9/13/2016,NULL,NULL,BCB047,358282,27151,"Mortgage Direct M&A","Home Loans"
ZCW312,544747,9/13/2016,NULL,NULL,JJS067,230212,21543,"DataLabs India","Financial Services Rollup"
EXA737,222136,9/13/2016,NULL,NULL,DBZ939,225330,21045,"FS Chief of Staff Team","Financial Services Rollup"
LWX073,431513,9/13/2016,NULL,NULL,VKA592,331922,21104,"Business Risk Office","Auto Finance"
NCY761,172678,9/13/2016,NULL,NULL,CWM874,348433,39054,"Team 32 Plano","Financial Services Rollup"
VOM975,434162,9/13/2016,NULL,NULL,MBH865,247606,21245,"Customer Care (Tulsa)","Auto Finance"
EYV201,210891,9/13/2016,NULL,NULL,JJQ031,487084,28762,"Mortgage LT","Home Loans"
